Index	Formation_Energy_eV	Atomization_Energy_eV	Bandgap_eV	Bandgap_nm	Smallest_Direct_Bandgap_eV	Smallest_Direct_Bandgap_nm	No_of_im_wave_nos_dimensionless	Lowest_wave_no_cm-1	Lowest_wave_no_THz	q*_A-1	I1/I3_dimensionless	I2/I3_dimensionless
423	0.030877	-4.21971662	4.98233482	248.8475625	4.99147677	248.3917952	2	-9.367818	-0.2808396894	0.5	0.219664	0.993597
424	0.050611	-4.315418976	5.38849289	230.0906581	5.38849289	230.0906581	2	-17.424199	-0.5223635467	0.06	0.213263	0.942756
425	0.134969	-4.231061038	5.54122746	223.748598	5.58689724	221.9195776	1	-13.764871	-0.4126598207	0.5	0.245937	0.943424
426	0.299363	-4.1496369	5.80655906	213.5243718	5.80655906	213.5243718	1	-8.054453	-0.2414660574	0.5	0.084893	0.942694
427	0.150567	-4.35975797	5.47719186	226.3645144	5.48089269	226.2116676	1	-10.424935	-0.3125312114	0.46	0.292679	0.996906
428	0.514221	-4.451099566	5.14476648	240.9908944	5.33485703	232.4039554	1	-12.232301	-0.3667145981	0.5	0.226658	0.936653
429	0.620346	-4.344974578	4.79710354	258.4563508	4.79710354	258.4563508	1	-7.003764	-0.2099672417	0.5	0.230265	0.903613
430	0.679028	-4.286292545	5.20261734	238.3111796	5.32169679	232.9786766	2	-10.469797	-0.3138761382	0.5	0.128443	0.980586
431	0.194355	-4.315969969	5.5852911	221.9833941	5.5852911	221.9833941	1	-7.534633	-0.2258822696	0.5	0.273233	0.903383
432	0.468326	-4.157435914	4.81735361	257.3699122	4.81735361	257.3699122	1	-6.171457	-0.1850153437	0.5	0.232819	0.963489
433	0.45698	-4.168781866	5.99086869	206.9552747	5.99234173	206.9044009	1	-4.314967	-0.1293592587	0.15	0.202154	0.96786
434	0.745458	-4.51213849	3.59904984	344.4914437	3.59904984	344.4914437	3	-10.404431	-0.3119165178	0.5	0.244473	0.755527
435	0.757432	-3.838599319	3.18233741	389.601012	3.20346339	387.031698	6	-106.80638	-3.201969827	0	0.173933	0.826067
436	0.644224	-4.135452852	8.25034159	150.2776415	8.26445323	150.0210408	0	7.166151	0.2148354741	0	0.182778	1
